cl_1_discrepancy,cl_2_discrepancy,cl_3_discrepancy,cl_4_discrepancy,cl_5_discrepancy,cl_6_discrepancy,cl_7_discrepancy,cl_8_discrepancy,cl_9_discrepancy,cl_10_discrepancy,cl_11_discrepancy,cl_12_discrepancy,cl_13_discrepancy,cl_14_discrepancy,cl_15_discrepancy,cl_16_discrepancy,cl_17_discrepancy,cl_18_discrepancy,cl_19_discrepancy,cl_20_discrepancy,cl_21_discrepancy,cl_22_discrepancy,cl_23_discrepancy,cl_24_discrepancy,cl_25_discrepancy,cl_26_discrepancy,cl_27_discrepancy,cl_28_discrepancy,cl_29_discrepancy,cl_30_discrepancy,RMSE,elpd_loo,elpd_loo_se,p_loo,p_loo_se
0.124576126,-0.012937986,0.003909388,0.174164273,0.106753857,0.327880934,0.093413531,0.032308058,0.091510467,0.022803625,0.22175303,0.059389132,0.093772574,-0.081366205,0.082814072,0.029798067,0.255525627,0.025630992,0.171095676,-0.018041348,0.040800582,-0.009696257,0.007654283,0.079628271,0.047542086,0.237645204,-0.008857869,0.121883814,0.038114062,-0.004616502,0.120873743,-4550.329779,39.70171226,448.2451876,12.29485085
-0.097784427,0.086667965,-0.005208944,0.021096222,0.124243487,0.269898777,-0.013176459,0.156562682,-0.073053741,-0.022080567,0.011948929,0.045286813,0.031586372,-0.087482207,0.068265017,0.108381661,0.0373979,-0.055432148,-0.041969413,-0.057955189,-0.03838615,0.123280154,0.004904501,0.150976305,0.112091613,0.117314646,-0.031397141,-0.016670786,0.031416059,-0.104394924,0.091677947,-4563.792854,39.24847248,455.7650143,12.1821041
-0.041155881,0.178073216,-0.025119695,0.043268618,0.02956634,0.282796936,0.082593098,0.132439898,-0.074466378,0.015376072,0.04089924,0.035626807,0.007210752,0.096096077,0.114357296,-0.094429643,0.131202572,-0.085018607,-0.049967919,-0.055695514,-0.062648866,0.078893617,0.025580349,-0.006387654,0.092975209,0.332654738,-0.010377672,0.004161248,-0.050169889,0.020288369,0.107139234,-4449.076016,38.13250414,479.7729949,12.96156937
-0.03976886,0.156827278,-0.167378134,0.028461028,-0.074115672,0.135413911,-0.080654254,-0.045636889,-0.065761074,0.016084763,-0.076592907,0.072250235,-0.026136508,-0.055587167,0.014560821,-0.096558992,0.047241365,-0.098338269,-0.174351262,0.171005089,-0.152857888,0.059013632,-0.027888636,0.092058878,-0.084981714,0.256404549,-0.001697469,0.020780397,-0.109591393,0.119447969,0.103878172,-4465.480557,39.72272361,431.9543959,11.43784925
-0.02265762,-0.080574372,0.138059365,0.097718474,-0.160806732,0.253050679,-0.119878536,-0.164667422,-0.15331831,-0.074872567,0.152936974,0.028792261,-0.091935765,-0.127270861,-0.054268588,-0.022941733,-0.01362092,0.08809684,0.002149511,-0.094306615,-0.123121759,-0.016349274,-0.118709424,0.011544995,-0.053680324,0.109989635,0.022919912,0.142205965,0.015963772,0.029403234,0.105164967,-4518.848095,37.95631938,445.6514846,11.11399462
-0.055987426,0.022260645,-0.043816714,0.047893253,0.033647905,0.225088579,-0.026506881,0.013168698,-0.102975618,0.063390729,-0.048191607,-0.004809449,0.004997687,0.126409745,0.09774199,0.195976458,-0.070482153,0.094632968,-0.042026675,0.050114933,-0.041319852,0.224973795,-0.111364038,0.081207381,-0.03526794,0.227526809,-0.057581982,0.115962739,-0.165281498,0.199380304,0.110726882,-4501.184695,38.48024944,439.5605283,11.26806263
-0.309618202,0.055845676,0.082350699,0.044845183,0.110060589,0.288925831,-0.154795491,-0.080421741,-0.126056248,0.019273408,-0.057450439,-0.003002064,-0.217642811,-0.070413417,0.086559542,0.079295726,-0.010953913,0.10331373,0.00539209,0.037271669,0.013556805,0.088084609,-0.028738363,-0.005299152,-0.129391922,0.218604528,0.09131561,0.049174558,-0.111541082,0.021916208,0.119539524,-4529.706243,39.19243896,458.9996398,12.60406182
-0.039898618,0.143120076,0.004708022,0.140418064,-0.098662437,0.219405567,0.098200082,0.111815566,-0.031523826,0.015436473,-0.017925734,-0.016889218,0.001906992,0.043139337,0.001600146,0.02141818,0.102913635,0.059338436,0.096750722,-0.054027112,-0.040286914,0.207451384,-0.14233279,0.060725887,0.076667313,0.042953981,-0.006319669,0.085219016,0.052960664,0.065499494,0.09002142,-4533.939152,38.05714904,445.5423266,12.08388006
0.016115841,0.196859386,-0.070913204,0.123119153,0.026571685,0.264304038,-0.044129801,0.100505293,0.035992696,-0.005522765,0.058131317,0.12178668,-0.045786326,-0.040789926,0.075613499,-0.028086089,-0.067973423,-0.139318882,0.1916859,-0.049898626,0.018808657,0.077190866,-0.019389937,0.091751337,0.072847089,0.133568037,-0.03860192,0.08351462,-0.018652553,-0.019876883,0.097012083,-4494.709065,38.96080212,473.1909596,12.06271983
0.032735007,0.142039028,0.09787381,0.02777482,-0.028429181,0.285658825,-0.013082539,0.06690096,0.003305642,0.047560603,0.134302107,-0.103599874,-0.060624361,0.004603828,0.114670405,0.104843341,0.051026623,0.017547194,-0.030824887,0.160755832,-0.132733964,0.004340695,-0.017203793,0.043026554,0.026392541,0.290429164,0.049910491,0.128612628,0.040436677,-0.111347045,0.107258905,-4600.195667,38.77638502,449.2553358,11.43702464
